Model,Labels,lr,ME,MAE,MSE,RMSE,loss_function,dense_weight_alpha,batch size,snippet_duration_s
allconv_01,['Nostalgia'],0.1,-0.3636024892330169,6.08521032333374,56.57625961303711,7.521718978881836,dense_weight,1.0,40.0,29.98575963718821
allconv_01,['Nostalgia'],0.1,2.193830728530884,6.988938331604004,73.07456970214844,8.54836654663086,dense_weight,3.0,40.0,29.98575963718821
allconv_01,['Nostalgia'],0.1,2.894843101501465,7.092080116271973,77.20731353759766,8.786768913269043,dense_weight,4.0,40.0,29.98575963718821
pretrained_musicnn_parallel,['Nostalgia'],0.1,-0.6198063492774963,6.726477146148682,63.798038482666016,7.987367630004883,MAE,0.0,10.0,14.985759637188208
pretrained_musicnn_parallel,['Nostalgia'],0.1,8.777209281921387,9.792558670043944,137.89675903320312,11.742944717407228,dense_weight,2.0,10.0,14.985759637188208
allconv_01,['Nostalgia'],0.1,10.530898094177246,12.43486213684082,225.6561737060547,15.021856307983398,dense_weight,2.0,10.0,14.985759637188208
musicnn_arch_finetune,['Nostalgia'],0.1,-0.73561030626297,8.150047302246094,138.50900268554688,11.7689847946167,dense_weight,2.0,10.0,14.985759637188208
musicnn_arch_finetune,['Nostalgia'],0.1,-14.700945854187012,14.700945854187012,291.6054077148437,17.076457977294922,MAE,0.0,10.0,14.985759637188208
musicnn_arch_finetune,['Wonder'],0.1,0.342568039894104,5.322290897369385,42.37715148925781,6.5097737312316895,dense_weight,2.0,10.0,14.985759637188208
allconv_01,['Wonder'],0.1,-13.057106018066406,13.057106018066406,212.5701904296875,14.579787254333496,BMSE,0.0,10.0,29.98575963718821
allconv_01,['Wonder'],0.1,-13.128636360168455,13.13162326812744,214.6516571044922,14.650995254516602,BMSE,0.0,50.0,29.98575963718821
allconv_01,['Wonder'],0.0001,-12.76496696472168,12.76496696472168,204.2541656494141,14.291751861572266,dense_weight,1.0,50.0,29.98575963718821
allconv_01,['Wonder'],0.01,-0.351205974817276,4.987102031707764,39.19629287719727,6.26069450378418,dense_weight_single,0.0,50.0,29.98575963718821
allconv_01,['Wonder'],0.01,-1.958592414855957,4.917156219482422,38.94448852539063,6.240551948547363,MAE,0.0,50.0,29.98575963718821
allconv_01,['Nostalgia'],0.01,-2.971803665161133,5.268914699554443,47.323387145996094,6.879199504852295,MAE,0.0,50.0,29.98575963718821
allconv_01,['Tenderness'],0.01,-0.1429303735494613,4.371612071990967,31.599380493164062,5.62133264541626,MAE,0.0,50.0,29.98575963718821
allconv_01,['Peacfulness'],0.01,-7.963987350463867,9.312403678894045,142.85943603515625,11.95238208770752,MAE,0.0,50.0,29.98575963718821
allconv_01,['Joy'],0.01,-1.8362562656402588,7.309552669525146,90.99127960205078,9.538934707641602,MAE,0.0,50.0,29.98575963718821
allconv_01,['Power'],0.001,-11.500386238098145,11.533733367919922,219.4915313720703,14.81524658203125,MAE,0.0,50.0,29.98575963718821
allconv_01,['Power'],0.01,0.4527819454669952,5.58043098449707,59.39888000488281,7.707067012786865,MAE,0.0,50.0,29.98575963718821
allconv_01,['Tension'],0.01,-2.313844680786133,4.898836612701416,55.65853500366211,7.460464954376221,MAE,0.0,50.0,29.98575963718821
allconv_01,['Sadness'],0.01,2.2692630290985107,3.98210883140564,24.734912872314453,4.9734206199646,MAE,0.0,50.0,29.98575963718821
allconv_01,"['Wonder', 'Transcendence', 'Nostalgia', 'Tenderness', 'Peacfulness', 'Joy', 'Power', 'Tension', 'Sadness']",0.01,0.0525257587432861,4.832675457000732,43.3427848815918,6.408782482147217,MAE,0.0,50.0,29.98575963718821
allconv_01,"['Wonder', 'Transcendence', 'Nostalgia', 'Tenderness', 'Peacfulness', 'Joy', 'Power', 'Tension', 'Sadness']",0.01,1.160178303718567,5.311142921447754,48.38716506958008,6.789003849029541,dense_weight,1.0,50.0,29.98575963718821
allconv_01,['Wonder'],0.01,-3.2176053524017334,6.082401752471924,68.23878479003906,8.260677337646484,dense_weight,1.0,50.0,29.98575963718821
allconv_01,['Transcendence'],0.01,-1.5566017627716064,3.761063098907471,21.188867568969727,4.6031365394592285,dense_weight,1.0,50.0,29.98575963718821
allconv_01,['Nostalgia'],0.01,-1.3426599502563477,4.866405010223389,42.26961135864258,6.5015082359313965,dense_weight,1.0,50.0,29.98575963718821
allconv_01,['Tenderness'],0.01,1.0926079750061035,4.5795512199401855,33.38639450073242,5.7780961990356445,dense_weight,1.0,50.0,29.98575963718821
