Model,Labels,lr,dense_weight_alpha,snippet_duration_s,batch size,ME,MAE,MSE,RMSE,loss_function,oversampling,oversampling_tolerance,oversampling_ratio
allconv_01,['Nostalgia'],0.01,1.0,29.98575963718821,50,-1.394593358039856,5.3303656578063965,46.05398941040039,6.786308765411377,dense_weight,False,0.5,1.0
allconv_01,['Tenderness'],0.01,1.0,29.98575963718821,50,2.104694128036499,4.826279163360596,32.566246032714844,5.706684112548828,dense_weight,False,0.5,1.0
allconv_01,['Peacfulness'],0.01,1.0,29.98575963718821,50,-1.666082501411438,6.082622528076172,58.23257446289063,7.631027221679687,dense_weight,False,0.5,1.0
allconv_01,['Joy'],0.01,1.0,29.98575963718821,50,-14.70858383178711,14.789867401123049,311.3135070800781,17.644079208374023,dense_weight,False,0.5,1.0
allconv_01,['Power'],0.01,1.0,29.98575963718821,50,-12.34129524230957,12.34129524230957,239.24856567382807,15.46766185760498,dense_weight,False,0.5,1.0
allconv_01,['Tension'],0.01,1.0,29.98575963718821,50,-1.813454508781433,4.377765655517578,41.41730117797852,6.435627460479736,dense_weight,False,0.5,1.0
allconv_01,['Sadness'],0.01,1.0,29.98575963718821,50,3.394099235534668,4.16132402420044,26.812135696411133,5.178043842315674,dense_weight,False,0.5,1.0
allconv_01,['Wonder'],0.01,1.5,29.98575963718821,50,-3.704249620437622,7.002922534942627,74.50328063964844,8.6315279006958,dense_weight,False,0.5,1.0
allconv_01,['Transcendence'],0.01,1.5,29.98575963718821,50,-5.702814102172852,6.144564151763916,51.32537460327149,7.164173126220703,dense_weight,False,0.5,1.0
allconv_01,['Nostalgia'],0.01,1.5,29.98575963718821,50,-8.857918739318848,9.514487266540527,144.5872802734375,12.02444553375244,dense_weight,False,0.5,1.0
allconv_01,['Tenderness'],0.01,1.5,29.98575963718821,50,0.9081706404685974,4.86647367477417,35.25505828857422,5.937596797943115,dense_weight,False,0.5,1.0
allconv_01,['Peacfulness'],0.01,1.5,29.98575963718821,50,-3.870330572128296,6.943207263946533,77.88096618652344,8.825018882751465,dense_weight,False,0.5,1.0
allconv_01,['Joy'],0.01,1.5,29.98575963718821,50,-18.53301048278809,18.53301048278809,459.302978515625,21.43135452270508,dense_weight,False,0.5,1.0
allconv_01,['Power'],0.01,1.5,29.98575963718821,50,-7.9028544425964355,8.05667781829834,137.62062072753906,11.731181144714355,dense_weight,False,0.5,1.0
allconv_01,['Tension'],0.01,1.5,29.98575963718821,50,-0.1985897421836853,4.804159164428711,46.432559967041016,6.814144134521484,dense_weight,False,0.5,1.0
allconv_01,['Nostalgia'],0.01,0.0,29.98575963718821,50,-3.224505662918091,6.412745952606201,61.78573226928711,7.8603901863098145,MAE,True,0.5,1.0
allconv_01,['Tenderness'],0.01,0.0,29.98575963718821,50,-3.217764139175415,5.963658809661865,61.67351531982422,7.853248596191406,MAE,True,0.5,1.0
allconv_01,['Peacfulness'],0.01,0.0,29.98575963718821,50,-5.531230449676514,7.807344436645508,97.41886138916016,9.870099067687988,MAE,True,0.5,1.0
