Model,Labels,lr,loss_function,dense_weight_alpha,batch size,data_augmentation,snippet_duration_s,oversampling,oversampling_tolerance,oversampling_ratio,oversampling_method,R2,ME,MAE,MSE,RMSE,Wonder MAE,Transcendence MAE,Nostalgia MAE,Tenderness MAE,Peacfulness MAE,Joy MAE,Power MAE,Tension MAE,Sadness MAE,Wonder RMSE,Transcendence RMSE,Nostalgia RMSE,Tenderness RMSE,Peacfulness RMSE,Joy RMSE,Power RMSE,Tension RMSE,Sadness RMSE
allconv_01,['Wonder'],0.01,MAE,0.0,50,0,29.98575963718821,False,0.0,0,No oversampling,99.0,0.1923920065164566,5.050814628601074,39.89044952392578,6.31588888168335,5.050814628601074,,,,,,,,,6.31588888168335,,,,,,,,
allconv_01,['Transcendence'],0.01,MAE,0.0,50,0,29.98575963718821,False,0.0,0,No oversampling,99.0,-0.6028435230255127,3.671474933624268,20.70186424255371,4.549930095672607,,3.671474933624268,,,,,,,,,4.549930095672607,,,,,,,
allconv_01,['Nostalgia'],0.01,MAE,0.0,50,0,29.98575963718821,False,0.0,0,No oversampling,99.0,-3.120400667190552,6.228249549865723,64.88114166259766,8.054883003234863,,,6.228249549865723,,,,,,,,,8.054883003234863,,,,,,
allconv_01,['Tenderness'],0.01,MAE,0.0,50,0,29.98575963718821,False,0.0,0,No oversampling,99.0,2.2682337760925293,4.784909725189209,34.971343994140625,5.913657188415527,,,,4.784909725189209,,,,,,,,,5.913657188415527,,,,,
allconv_01,['Peacfulness'],0.01,MAE,0.0,50,0,29.98575963718821,False,0.0,0,No oversampling,99.0,-0.1334954649209976,5.909702777862549,63.14973068237305,7.946680545806885,,,,,5.909702777862549,,,,,,,,,7.946680545806885,,,,
allconv_01,['Joy'],0.01,MAE,0.0,50,0,29.98575963718821,False,0.0,0,No oversampling,99.0,-5.45833158493042,8.258698463439941,119.76675415039062,10.94379997253418,,,,,,8.258698463439941,,,,,,,,,10.94379997253418,,,
allconv_01,['Power'],0.01,MAE,0.0,50,0,29.98575963718821,False,0.0,0,No oversampling,99.0,1.3613301515579224,5.87454891204834,61.55278778076172,7.845558643341064,,,,,,,5.87454891204834,,,,,,,,,7.845558643341064,,
allconv_01,['Tension'],0.01,MAE,0.0,50,0,29.98575963718821,False,0.0,0,No oversampling,99.0,-0.624798059463501,5.115796089172363,54.83478927612305,7.4050517082214355,,,,,,,,5.115796089172363,,,,,,,,,7.4050517082214355,
allconv_01,['Sadness'],0.01,MAE,0.0,50,0,29.98575963718821,False,0.0,0,No oversampling,99.0,0.0651382729411125,2.1998486518859863,13.040358543395996,3.611143589019776,,,,,,,,,2.1998486518859863,,,,,,,,,3.611143589019776
allconv_01,['Wonder'],0.01,dense weight,0.0,50,0,29.98575963718821,False,0.0,0,No oversampling,99.0,-0.6188111901283264,5.110470771789551,45.821102142333984,6.769128799438477,5.110470771789551,,,,,,,,,6.769128799438477,,,,,,,,
allconv_01,['Transcendence'],0.01,dense weight,0.0,50,0,29.98575963718821,False,0.0,0,No oversampling,99.0,0.3747211098670959,3.037099599838257,14.682847023010254,3.831820249557495,,3.037099599838257,,,,,,,,,3.831820249557495,,,,,,,
allconv_01,['Nostalgia'],0.01,dense weight,0.0,50,0,29.98575963718821,False,0.0,0,No oversampling,99.0,2.3371288776397705,5.383759498596191,52.57374572753906,7.250775337219238,,,5.383759498596191,,,,,,,,,7.250775337219238,,,,,,
allconv_01,['Tenderness'],0.01,dense weight,0.0,50,0,29.98575963718821,False,0.0,0,No oversampling,99.0,1.0367884635925293,4.296894550323486,31.99649238586425,5.656544208526611,,,,4.296894550323486,,,,,,,,,5.656544208526611,,,,,
allconv_01,['Peacfulness'],0.01,dense weight,0.0,50,0,29.98575963718821,False,0.0,0,No oversampling,99.0,1.570495843887329,5.622674942016602,49.778995513916016,7.055423259735107,,,,,5.622674942016602,,,,,,,,,7.055423259735107,,,,
allconv_01,['Joy'],0.01,dense weight,0.0,50,0,29.98575963718821,False,0.0,0,No oversampling,99.0,-0.0781568065285682,6.988129615783691,74.83604431152344,8.650782585144043,,,,,,6.988129615783691,,,,,,,,,8.650782585144043,,,
allconv_01,['Power'],0.01,dense weight,0.0,50,0,29.98575963718821,False,0.0,0,No oversampling,99.0,-1.5156540870666504,5.796192169189453,71.87471771240234,8.477895736694336,,,,,,,5.796192169189453,,,,,,,,,8.477895736694336,,
allconv_01,['Tension'],0.01,dense weight,0.0,50,0,29.98575963718821,False,0.0,0,No oversampling,99.0,-2.822040319442749,5.134224891662598,64.22015380859375,8.013748168945312,,,,,,,,5.134224891662598,,,,,,,,,8.013748168945312,
allconv_01,['Sadness'],0.01,dense weight,0.0,50,0,29.98575963718821,False,0.0,0,No oversampling,99.0,-1.4166761636734009,2.0690672397613525,14.085765838623049,3.753100872039795,,,,,,,,,2.0690672397613525,,,,,,,,,3.753100872039795
allconv_01,['Wonder'],0.01,MAE,0.0,50,0,29.98575963718821,True,0.3,1,adaptive_density_oversampling_V2,99.0,-2.5630321502685547,5.898061752319336,56.77294921875,7.534782409667969,5.898061752319336,,,,,,,,,7.534782409667969,,,,,,,,
